funcid,dim,milestone,error
7,30,1,5.500411e+02
7,30,2,3.532452e+02
7,30,3,3.532452e+02
7,30,5,3.428363e+02
7,30,10,3.037397e+02
7,30,20,3.037397e+02
7,30,30,3.037397e+02
7,30,40,3.037397e+02
7,30,50,3.037397e+02
7,30,60,2.986357e+02
7,30,70,2.899106e+02
7,30,80,2.899106e+02
7,30,90,2.899106e+02
7,30,100,2.899106e+02
7,30,1,5.937780e+02
7,30,2,4.320476e+02
7,30,3,3.501040e+02
7,30,5,3.501040e+02
7,30,10,3.156002e+02
7,30,20,3.018318e+02
7,30,30,2.778123e+02
7,30,40,2.778123e+02
7,30,50,2.778123e+02
7,30,60,2.513953e+02
7,30,70,2.513953e+02
7,30,80,2.513953e+02
7,30,90,2.513953e+02
7,30,100,2.513953e+02
7,30,1,5.997117e+02
7,30,2,4.380606e+02
7,30,3,3.638928e+02
7,30,5,3.394069e+02
7,30,10,3.394069e+02
7,30,20,3.394069e+02
7,30,30,3.394069e+02
7,30,40,3.294581e+02
7,30,50,2.728796e+02
7,30,60,2.595959e+02
7,30,70,2.528640e+02
7,30,80,2.528640e+02
7,30,90,2.528640e+02
7,30,100,2.528640e+02
7,30,1,6.448212e+02
7,30,2,4.484790e+02
7,30,3,3.962872e+02
7,30,5,3.439290e+02
7,30,10,3.368665e+02
7,30,20,3.347098e+02
7,30,30,3.347098e+02
7,30,40,3.272884e+02
7,30,50,3.196967e+02
7,30,60,2.876617e+02
7,30,70,2.876617e+02
7,30,80,2.721000e+02
7,30,90,2.721000e+02
7,30,100,2.721000e+02
7,30,1,6.357234e+02
7,30,2,4.108893e+02
7,30,3,3.607585e+02
7,30,5,3.607585e+02
7,30,10,3.607585e+02
7,30,20,3.402945e+02
7,30,30,2.803223e+02
7,30,40,2.730752e+02
7,30,50,2.667859e+02
7,30,60,2.667859e+02
7,30,70,2.667859e+02
7,30,80,2.667859e+02
7,30,90,2.667859e+02
7,30,100,2.667859e+02
