funcid,dim,milestone,error
13,10,1,1.893666e+05
13,10,2,1.893666e+05
13,10,3,1.893666e+05
13,10,5,1.893666e+05
13,10,10,6.979459e+04
13,10,20,2.929572e+04
13,10,30,2.929572e+04
13,10,40,2.929572e+04
13,10,50,2.929572e+04
13,10,60,2.843802e+04
13,10,70,2.843802e+04
13,10,80,2.711313e+04
13,10,90,2.711313e+04
13,10,100,2.711313e+04
13,10,1,4.108765e+06
13,10,2,8.169035e+04
13,10,3,8.169035e+04
13,10,5,7.238611e+04
13,10,10,6.088834e+04
13,10,20,6.031371e+04
13,10,30,2.127014e+04
13,10,40,1.115580e+04
13,10,50,8.678496e+03
13,10,60,7.493036e+03
13,10,70,7.152357e+03
13,10,80,7.152357e+03
13,10,90,7.152357e+03
13,10,100,7.152357e+03
13,10,1,7.416369e+06
13,10,2,6.953909e+05
13,10,3,2.425747e+05
13,10,5,3.717014e+04
13,10,10,3.717014e+04
13,10,20,2.213699e+04
13,10,30,1.578841e+04
13,10,40,1.097250e+04
13,10,50,1.097250e+04
13,10,60,1.097250e+04
13,10,70,8.746981e+03
13,10,80,8.746981e+03
13,10,90,8.746981e+03
13,10,100,8.746981e+03
13,10,1,3.286402e+06
13,10,2,3.467397e+05
13,10,3,3.467397e+05
13,10,5,1.920236e+04
13,10,10,5.102629e+03
13,10,20,5.102629e+03
13,10,30,2.806099e+03
13,10,40,2.806099e+03
13,10,50,2.806099e+03
13,10,60,2.200132e+03
13,10,70,2.200132e+03
13,10,80,2.200132e+03
13,10,90,2.200132e+03
13,10,100,2.200132e+03
13,10,1,1.656660e+06
13,10,2,3.965867e+04
13,10,3,3.965867e+04
13,10,5,8.652597e+03
13,10,10,8.652597e+03
13,10,20,8.652597e+03
13,10,30,8.652597e+03
13,10,40,6.638706e+03
13,10,50,6.638706e+03
13,10,60,6.638706e+03
13,10,70,6.638706e+03
13,10,80,6.638706e+03
13,10,90,6.638706e+03
13,10,100,6.638706e+03
13,10,1,1.385216e+06
13,10,2,4.890095e+04
13,10,3,4.890095e+04
13,10,5,2.353733e+04
13,10,10,2.353733e+04
13,10,20,2.353733e+04
13,10,30,2.353733e+04
13,10,40,2.353733e+04
13,10,50,1.038554e+04
13,10,60,1.030211e+04
13,10,70,1.030211e+04
13,10,80,1.030211e+04
13,10,90,1.030211e+04
13,10,100,1.030211e+04
13,10,1,3.511872e+06
13,10,2,2.807103e+05
13,10,3,1.540448e+05
13,10,5,4.864954e+04
13,10,10,2.890756e+04
13,10,20,2.044496e+04
13,10,30,8.591512e+02
13,10,40,8.591512e+02
13,10,50,8.591512e+02
13,10,60,8.591512e+02
13,10,70,8.591512e+02
13,10,80,8.591512e+02
13,10,90,8.591512e+02
13,10,100,8.591512e+02
13,10,1,5.627734e+06
13,10,2,8.751023e+05
13,10,3,2.155606e+05
13,10,5,3.221151e+04
13,10,10,3.221151e+04
13,10,20,9.283154e+03
13,10,30,9.283154e+03
13,10,40,5.164056e+03
13,10,50,5.164056e+03
13,10,60,5.164056e+03
13,10,70,1.280580e+03
13,10,80,1.280580e+03
13,10,90,1.280580e+03
13,10,100,1.280580e+03
13,10,1,3.665124e+06
13,10,2,6.716466e+05
13,10,3,4.889601e+05
13,10,5,6.151170e+04
13,10,10,5.431076e+04
13,10,20,1.009938e+04
13,10,30,5.784348e+03
13,10,40,5.784348e+03
13,10,50,5.784348e+03
13,10,60,5.784348e+03
13,10,70,5.784348e+03
13,10,80,5.784348e+03
13,10,90,5.784348e+03
13,10,100,5.784348e+03
13,10,1,4.878231e+05
13,10,2,2.171016e+05
13,10,3,6.872107e+04
13,10,5,6.872107e+04
13,10,10,6.872107e+04
13,10,20,2.247572e+04
13,10,30,2.247572e+04
13,10,40,2.247572e+04
13,10,50,1.912952e+04
13,10,60,1.912952e+04
13,10,70,1.715487e+04
13,10,80,1.715487e+04
13,10,90,1.715487e+04
13,10,100,1.715487e+04
