funcid,dim,milestone,error
2,30,1,3.435792e+37
2,30,2,1.913058e+35
2,30,3,1.519649e+33
2,30,5,1.550049e+31
2,30,10,9.203710e+27
2,30,20,1.864361e+26
2,30,30,1.058205e+26
2,30,40,1.333711e+25
2,30,50,1.333711e+25
2,30,60,1.135251e+25
2,30,70,6.257931e+24
2,30,80,3.530232e+24
2,30,90,3.530232e+24
2,30,100,3.530232e+24
2,30,1,1.326806e+37
2,30,2,1.058051e+33
2,30,3,6.654505e+30
2,30,5,9.180717e+27
2,30,10,2.903622e+24
2,30,20,2.903622e+24
2,30,30,1.166476e+24
2,30,40,5.675706e+23
2,30,50,1.056305e+23
2,30,60,4.273893e+22
2,30,70,1.458646e+22
2,30,80,3.246607e+21
2,30,90,3.246607e+21
2,30,100,3.246607e+21
2,30,1,1.072483e+33
2,30,2,2.486621e+32
2,30,3,4.091546e+31
2,30,5,2.124707e+29
2,30,10,5.171426e+28
2,30,20,4.890605e+28
2,30,30,8.773428e+23
2,30,40,1.023195e+22
2,30,50,3.404196e+20
2,30,60,2.520856e+20
2,30,70,6.168368e+19
2,30,80,3.695448e+19
2,30,90,3.695448e+19
2,30,100,3.695448e+19
2,30,1,4.553550e+35
2,30,2,7.375819e+32
2,30,3,5.058760e+32
2,30,5,5.961030e+29
2,30,10,3.200997e+28
2,30,20,8.220699e+27
2,30,30,2.528949e+27
2,30,40,2.528949e+27
2,30,50,1.584750e+27
2,30,60,1.584750e+27
2,30,70,1.455540e+27
2,30,80,7.869189e+25
2,30,90,7.869189e+25
2,30,100,7.869189e+25
2,30,1,4.602557e+31
2,30,2,4.602557e+31
2,30,3,4.602557e+31
2,30,5,4.831955e+29
2,30,10,8.429823e+27
2,30,20,1.095033e+26
2,30,30,3.433933e+25
2,30,40,1.431758e+24
2,30,50,2.390263e+23
2,30,60,1.450485e+22
2,30,70,6.382117e+19
2,30,80,6.382117e+19
2,30,90,6.382117e+19
2,30,100,6.382117e+19
