funcid,dim,milestone,error
4,30,1,1.114240e+03
4,30,2,4.755203e+02
4,30,3,4.755203e+02
4,30,5,4.755203e+02
4,30,10,4.612884e+02
4,30,20,2.986185e+02
4,30,30,2.955112e+02
4,30,40,2.399961e+02
4,30,50,2.290358e+02
4,30,60,2.259444e+02
4,30,70,2.090443e+02
4,30,80,2.081339e+02
4,30,90,2.081339e+02
4,30,100,2.081339e+02
4,30,1,2.067873e+03
4,30,2,7.275417e+02
4,30,3,6.335181e+02
4,30,5,4.343583e+02
4,30,10,2.912321e+02
4,30,20,2.912321e+02
4,30,30,2.449735e+02
4,30,40,2.164945e+02
4,30,50,2.056375e+02
4,30,60,1.985321e+02
4,30,70,1.871730e+02
4,30,80,1.871730e+02
4,30,90,1.871730e+02
4,30,100,1.871730e+02
4,30,1,1.873697e+03
4,30,2,7.693644e+02
4,30,3,5.263522e+02
4,30,5,4.705040e+02
4,30,10,3.505025e+02
4,30,20,3.152621e+02
4,30,30,3.091732e+02
4,30,40,2.253508e+02
4,30,50,2.253508e+02
4,30,60,2.253508e+02
4,30,70,2.253508e+02
4,30,80,2.198165e+02
4,30,90,2.198165e+02
4,30,100,2.198165e+02
4,30,1,1.360479e+03
4,30,2,6.921627e+02
4,30,3,5.896302e+02
4,30,5,3.773087e+02
4,30,10,3.404952e+02
4,30,20,3.137912e+02
4,30,30,2.892647e+02
4,30,40,2.634873e+02
4,30,50,2.405370e+02
4,30,60,2.381725e+02
4,30,70,2.181608e+02
4,30,80,2.181608e+02
4,30,90,2.181608e+02
4,30,100,2.181608e+02
4,30,1,1.987078e+03
4,30,2,7.655695e+02
4,30,3,7.026699e+02
4,30,5,4.623170e+02
4,30,10,4.214193e+02
4,30,20,4.214193e+02
4,30,30,3.329965e+02
4,30,40,2.801333e+02
4,30,50,2.648392e+02
4,30,60,2.644343e+02
4,30,70,2.590954e+02
4,30,80,2.533127e+02
4,30,90,2.533127e+02
4,30,100,2.533127e+02
