funcid,dim,milestone,error
2,10,1,9.947174e+07
2,10,2,3.033851e+07
2,10,3,9.540755e+06
2,10,5,4.677918e+06
2,10,10,6.281100e+04
2,10,20,6.281100e+04
2,10,30,6.281100e+04
2,10,40,4.988200e+04
2,10,50,4.418700e+04
2,10,60,4.318500e+04
2,10,70,4.318500e+04
2,10,80,3.345000e+04
2,10,90,3.345000e+04
2,10,100,3.345000e+04
2,10,1,3.261561e+11
2,10,2,3.085819e+08
2,10,3,6.317453e+07
2,10,5,4.943802e+07
2,10,10,2.725190e+07
2,10,20,7.145306e+06
2,10,30,4.734850e+05
2,10,40,2.149690e+05
2,10,50,6.967600e+04
2,10,60,4.779700e+04
2,10,70,3.758300e+04
2,10,80,2.416900e+04
2,10,90,2.416900e+04
2,10,100,2.416900e+04
2,10,1,1.762960e+10
2,10,2,1.190775e+08
2,10,3,5.085585e+07
2,10,5,3.143542e+07
2,10,10,2.800105e+07
2,10,20,2.017993e+06
2,10,30,1.602110e+05
2,10,40,3.745900e+04
2,10,50,3.745900e+04
2,10,60,2.889000e+04
2,10,70,1.864000e+04
2,10,80,1.806500e+04
2,10,90,1.806500e+04
2,10,100,1.806500e+04
2,10,1,7.695160e+10
2,10,2,5.674870e+08
2,10,3,1.338712e+06
2,10,5,1.338712e+06
2,10,10,7.592030e+05
2,10,20,2.769680e+05
2,10,30,1.582910e+05
2,10,40,1.246270e+05
2,10,50,5.343400e+04
2,10,60,3.707400e+04
2,10,70,3.379600e+04
2,10,80,2.124000e+04
2,10,90,2.124000e+04
2,10,100,2.124000e+04
2,10,1,6.296049e+10
2,10,2,7.032006e+07
2,10,3,2.036042e+07
2,10,5,6.699514e+06
2,10,10,1.191762e+06
2,10,20,2.563570e+05
2,10,30,8.221900e+04
2,10,40,5.597700e+04
2,10,50,4.093600e+04
2,10,60,4.093600e+04
2,10,70,4.057000e+04
2,10,80,4.057000e+04
2,10,90,4.057000e+04
2,10,100,4.057000e+04
2,10,1,3.584080e+10
2,10,2,4.855114e+08
2,10,3,3.820552e+08
2,10,5,4.879430e+07
2,10,10,3.727700e+07
2,10,20,6.412060e+06
2,10,30,2.835600e+05
2,10,40,3.833100e+04
2,10,50,2.669300e+04
2,10,60,2.653000e+04
2,10,70,2.653000e+04
2,10,80,1.313000e+04
2,10,90,1.313000e+04
2,10,100,1.313000e+04
2,10,1,8.422845e+09
2,10,2,6.125826e+07
2,10,3,2.273681e+07
2,10,5,1.355092e+07
2,10,10,1.832169e+06
2,10,20,4.649720e+05
2,10,30,1.144120e+05
2,10,40,3.545400e+04
2,10,50,3.545400e+04
2,10,60,3.014100e+04
2,10,70,2.801700e+04
2,10,80,1.404900e+04
2,10,90,1.404900e+04
2,10,100,1.404900e+04
2,10,1,9.955838e+09
2,10,2,5.117404e+08
2,10,3,4.007429e+07
2,10,5,1.067600e+07
2,10,10,3.588650e+05
2,10,20,1.161100e+04
2,10,30,9.201000e+03
2,10,40,3.763000e+03
2,10,50,3.763000e+03
2,10,60,2.440000e+03
2,10,70,1.953000e+03
2,10,80,8.180000e+02
2,10,90,8.180000e+02
2,10,100,8.180000e+02
2,10,1,4.095542e+10
2,10,2,1.457914e+10
2,10,3,1.904861e+08
2,10,5,8.982882e+07
2,10,10,1.991250e+07
2,10,20,2.869330e+05
2,10,30,2.232570e+05
2,10,40,6.463300e+04
2,10,50,5.696200e+04
2,10,60,5.301300e+04
2,10,70,4.899200e+04
2,10,80,4.272100e+04
2,10,90,4.272100e+04
2,10,100,4.272100e+04
2,10,1,9.613479e+09
2,10,2,6.609589e+08
2,10,3,4.066140e+08
2,10,5,4.535696e+06
2,10,10,1.563287e+06
2,10,20,9.302410e+05
2,10,30,7.579440e+05
2,10,40,6.891820e+05
2,10,50,6.738640e+05
2,10,60,6.738640e+05
2,10,70,6.488370e+05
2,10,80,6.488370e+05
2,10,90,6.488370e+05
2,10,100,6.488370e+05
