funcid,dim,milestone,error
15,10,1,6.371825e+03
15,10,2,6.371825e+03
15,10,3,5.255230e+03
15,10,5,2.942211e+03
15,10,10,1.496096e+03
15,10,20,6.871018e+02
15,10,30,6.516513e+02
15,10,40,6.516513e+02
15,10,50,5.771032e+02
15,10,60,5.771032e+02
15,10,70,5.771032e+02
15,10,80,5.771032e+02
15,10,90,5.771032e+02
15,10,100,5.771032e+02
15,10,1,8.611136e+04
15,10,2,1.757259e+04
15,10,3,1.099576e+04
15,10,5,1.744696e+03
15,10,10,1.357114e+03
15,10,20,4.486921e+02
15,10,30,4.486921e+02
15,10,40,4.353097e+02
15,10,50,2.556776e+02
15,10,60,2.186659e+02
15,10,70,1.393223e+02
15,10,80,1.393223e+02
15,10,90,1.393223e+02
15,10,100,1.393223e+02
15,10,1,3.099777e+04
15,10,2,1.105789e+04
15,10,3,1.105789e+04
15,10,5,4.205676e+03
15,10,10,3.494334e+03
15,10,20,1.428124e+03
15,10,30,4.236592e+02
15,10,40,4.236592e+02
15,10,50,4.110055e+02
15,10,60,2.607147e+02
15,10,70,1.949155e+02
15,10,80,1.949155e+02
15,10,90,1.949155e+02
15,10,100,1.949155e+02
15,10,1,1.830100e+04
15,10,2,6.424790e+03
15,10,3,1.300555e+03
15,10,5,1.039367e+03
15,10,10,3.234434e+02
15,10,20,2.656863e+02
15,10,30,1.909289e+02
15,10,40,7.898922e+01
15,10,50,6.105550e+01
15,10,60,4.086934e+01
15,10,70,4.086934e+01
15,10,80,4.086934e+01
15,10,90,4.086934e+01
15,10,100,4.086934e+01
15,10,1,8.731851e+04
15,10,2,1.770737e+04
15,10,3,1.770737e+04
15,10,5,8.005630e+03
15,10,10,4.233003e+03
15,10,20,3.820279e+03
15,10,30,3.039851e+03
15,10,40,3.025408e+03
15,10,50,2.966984e+03
15,10,60,2.898300e+03
15,10,70,2.886205e+03
15,10,80,2.886205e+03
15,10,90,2.886205e+03
15,10,100,2.886205e+03
15,10,1,7.769815e+04
15,10,2,1.163231e+04
15,10,3,9.317882e+03
15,10,5,6.166911e+03
15,10,10,2.623727e+03
15,10,20,1.359125e+03
15,10,30,1.236834e+03
15,10,40,5.488652e+02
15,10,50,4.574691e+02
15,10,60,2.728129e+02
15,10,70,2.075524e+02
15,10,80,2.075524e+02
15,10,90,2.075524e+02
15,10,100,2.075524e+02
15,10,1,2.486996e+04
15,10,2,5.012012e+03
15,10,3,5.012012e+03
15,10,5,8.878906e+02
15,10,10,3.960882e+02
15,10,20,2.104035e+02
15,10,30,1.907490e+02
15,10,40,1.907490e+02
15,10,50,1.743037e+02
15,10,60,1.530241e+02
15,10,70,1.454011e+02
15,10,80,1.454011e+02
15,10,90,1.454011e+02
15,10,100,1.454011e+02
15,10,1,2.328926e+05
15,10,2,1.469694e+04
15,10,3,1.469694e+04
15,10,5,1.311827e+04
15,10,10,5.467952e+03
15,10,20,3.568516e+03
15,10,30,3.479571e+03
15,10,40,3.292410e+03
15,10,50,3.140907e+03
15,10,60,3.140907e+03
15,10,70,3.111489e+03
15,10,80,3.111489e+03
15,10,90,3.111489e+03
15,10,100,3.111489e+03
15,10,1,1.030580e+05
15,10,2,1.069725e+04
15,10,3,8.721873e+03
15,10,5,8.721873e+03
15,10,10,1.147488e+03
15,10,20,4.717791e+02
15,10,30,2.075432e+02
15,10,40,1.469474e+02
15,10,50,1.164708e+02
15,10,60,1.164708e+02
15,10,70,1.072779e+02
15,10,80,1.072779e+02
15,10,90,1.072779e+02
15,10,100,1.072779e+02
15,10,1,1.442212e+04
15,10,2,4.610092e+03
15,10,3,2.305653e+03
15,10,5,1.738008e+03
15,10,10,7.239315e+02
15,10,20,5.720547e+02
15,10,30,4.542898e+02
15,10,40,4.536172e+02
15,10,50,3.626963e+02
15,10,60,2.825222e+02
15,10,70,2.825222e+02
15,10,80,2.825222e+02
15,10,90,2.825222e+02
15,10,100,2.825222e+02
