funcid,dim,milestone,error
3,30,1,2.186262e+05
3,30,2,1.226953e+05
3,30,3,7.689799e+04
3,30,5,6.778171e+04
3,30,10,6.065070e+04
3,30,20,5.549131e+04
3,30,30,4.580806e+04
3,30,40,4.567820e+04
3,30,50,4.500221e+04
3,30,60,4.485043e+04
3,30,70,4.461621e+04
3,30,80,4.461621e+04
3,30,90,4.461621e+04
3,30,100,4.461621e+04
3,30,1,1.750405e+05
3,30,2,1.111470e+05
3,30,3,6.386508e+04
3,30,5,4.796407e+04
3,30,10,3.449076e+04
3,30,20,2.876342e+04
3,30,30,2.811803e+04
3,30,40,2.638596e+04
3,30,50,2.504204e+04
3,30,60,2.466696e+04
3,30,70,2.437162e+04
3,30,80,2.437162e+04
3,30,90,2.437162e+04
3,30,100,2.437162e+04
3,30,1,1.930605e+05
3,30,2,1.490538e+05
3,30,3,9.620430e+04
3,30,5,5.448362e+04
3,30,10,4.645620e+04
3,30,20,4.063946e+04
3,30,30,3.899096e+04
3,30,40,3.843369e+04
3,30,50,3.838383e+04
3,30,60,3.825791e+04
3,30,70,3.786562e+04
3,30,80,3.786562e+04
3,30,90,3.786562e+04
3,30,100,3.786562e+04
3,30,1,2.517639e+05
3,30,2,1.583996e+05
3,30,3,1.196568e+05
3,30,5,7.547255e+04
3,30,10,6.490301e+04
3,30,20,5.495504e+04
3,30,30,4.861872e+04
3,30,40,4.841462e+04
3,30,50,4.795150e+04
3,30,60,4.753276e+04
3,30,70,4.692340e+04
3,30,80,4.692340e+04
3,30,90,4.692340e+04
3,30,100,4.692340e+04
3,30,1,1.812338e+05
3,30,2,9.029395e+04
3,30,3,7.818544e+04
3,30,5,6.264606e+04
3,30,10,4.481596e+04
3,30,20,4.029142e+04
3,30,30,3.819616e+04
3,30,40,3.774335e+04
3,30,50,3.721748e+04
3,30,60,3.687870e+04
3,30,70,3.672204e+04
3,30,80,3.664625e+04
3,30,90,3.664625e+04
3,30,100,3.664625e+04
