funcid,dim,milestone,error
28,10,1,8.117181e+02
28,10,2,6.370674e+02
28,10,3,6.170311e+02
28,10,5,6.151061e+02
28,10,10,6.123170e+02
28,10,20,6.123170e+02
28,10,30,6.123170e+02
28,10,40,6.123170e+02
28,10,50,6.122045e+02
28,10,60,6.121637e+02
28,10,70,6.120442e+02
28,10,80,6.120442e+02
28,10,90,6.120442e+02
28,10,100,6.120442e+02
28,10,1,6.649518e+02
28,10,2,5.731159e+02
28,10,3,4.549804e+02
28,10,5,4.271161e+02
28,10,10,3.892527e+02
28,10,20,3.892527e+02
28,10,30,3.839781e+02
28,10,40,3.793009e+02
28,10,50,3.774729e+02
28,10,60,3.738502e+02
28,10,70,3.738502e+02
28,10,80,3.723157e+02
28,10,90,3.723157e+02
28,10,100,3.723157e+02
28,10,1,8.526070e+02
28,10,2,6.568870e+02
28,10,3,6.468823e+02
28,10,5,6.147236e+02
28,10,10,6.133488e+02
28,10,20,6.133036e+02
28,10,30,6.127060e+02
28,10,40,6.126612e+02
28,10,50,6.126612e+02
28,10,60,6.126612e+02
28,10,70,6.126571e+02
28,10,80,6.126571e+02
28,10,90,6.126571e+02
28,10,100,6.126571e+02
28,10,1,7.448829e+02
28,10,2,6.475845e+02
28,10,3,6.128897e+02
28,10,5,6.039887e+02
28,10,10,5.894310e+02
28,10,20,5.881284e+02
28,10,30,5.847304e+02
28,10,40,5.847304e+02
28,10,50,5.847304e+02
28,10,60,5.847304e+02
28,10,70,5.847304e+02
28,10,80,5.847304e+02
28,10,90,5.847304e+02
28,10,100,5.847304e+02
28,10,1,6.832233e+02
28,10,2,6.832233e+02
28,10,3,6.021448e+02
28,10,5,5.655186e+02
28,10,10,5.414623e+02
28,10,20,5.414623e+02
28,10,30,5.332229e+02
28,10,40,5.225058e+02
28,10,50,5.172397e+02
28,10,60,5.172397e+02
28,10,70,5.134947e+02
28,10,80,5.098577e+02
28,10,90,5.098577e+02
28,10,100,5.098577e+02
28,10,1,6.443325e+02
28,10,2,4.933535e+02
28,10,3,4.361130e+02
28,10,5,3.934802e+02
28,10,10,3.886230e+02
28,10,20,3.886230e+02
28,10,30,3.730422e+02
28,10,40,3.730422e+02
28,10,50,3.730422e+02
28,10,60,3.730422e+02
28,10,70,3.730198e+02
28,10,80,3.727612e+02
28,10,90,3.727612e+02
28,10,100,3.727612e+02
28,10,1,7.779672e+02
28,10,2,6.222820e+02
28,10,3,5.251677e+02
28,10,5,4.391920e+02
28,10,10,4.268298e+02
28,10,20,4.239314e+02
28,10,30,4.239314e+02
28,10,40,4.239314e+02
28,10,50,4.239314e+02
28,10,60,4.212587e+02
28,10,70,4.210649e+02
28,10,80,4.194740e+02
28,10,90,4.194740e+02
28,10,100,4.194740e+02
28,10,1,7.124537e+02
28,10,2,6.420562e+02
28,10,3,6.157606e+02
28,10,5,6.150478e+02
28,10,10,6.122840e+02
28,10,20,6.122840e+02
28,10,30,6.122840e+02
28,10,40,6.121388e+02
28,10,50,6.121276e+02
28,10,60,6.120780e+02
28,10,70,6.120130e+02
28,10,80,6.120130e+02
28,10,90,6.120130e+02
28,10,100,6.120130e+02
28,10,1,6.943467e+02
28,10,2,5.529114e+02
28,10,3,4.709974e+02
28,10,5,4.394610e+02
28,10,10,3.893448e+02
28,10,20,3.893448e+02
28,10,30,3.893448e+02
28,10,40,3.893448e+02
28,10,50,3.893448e+02
28,10,60,3.893448e+02
28,10,70,3.840424e+02
28,10,80,3.790683e+02
28,10,90,3.790683e+02
28,10,100,3.790683e+02
28,10,1,6.783428e+02
28,10,2,4.714260e+02
28,10,3,4.245911e+02
28,10,5,4.000051e+02
28,10,10,3.983840e+02
28,10,20,3.869514e+02
28,10,30,3.852558e+02
28,10,40,3.829327e+02
28,10,50,3.771197e+02
28,10,60,3.771197e+02
28,10,70,3.771197e+02
28,10,80,3.768535e+02
28,10,90,3.768535e+02
28,10,100,3.768535e+02
