funcid,dim,milestone,error
21,30,1,4.491816e+02
21,30,2,4.491816e+02
21,30,3,4.445587e+02
21,30,5,4.361293e+02
21,30,10,4.349118e+02
21,30,20,3.858981e+02
21,30,30,3.858981e+02
21,30,40,3.858981e+02
21,30,50,3.758978e+02
21,30,60,3.758978e+02
21,30,70,3.758978e+02
21,30,80,3.745353e+02
21,30,90,3.745353e+02
21,30,100,3.745353e+02
21,30,1,4.920384e+02
21,30,2,4.395850e+02
21,30,3,4.245346e+02
21,30,5,4.245346e+02
21,30,10,4.245346e+02
21,30,20,4.239553e+02
21,30,30,4.029562e+02
21,30,40,4.029562e+02
21,30,50,3.936404e+02
21,30,60,3.936404e+02
21,30,70,3.814264e+02
21,30,80,3.766881e+02
21,30,90,3.766881e+02
21,30,100,3.766881e+02
21,30,1,4.746535e+02
21,30,2,4.746535e+02
21,30,3,4.694269e+02
21,30,5,4.669107e+02
21,30,10,4.526522e+02
21,30,20,4.437089e+02
21,30,30,4.096016e+02
21,30,40,4.002574e+02
21,30,50,4.002574e+02
21,30,60,3.879690e+02
21,30,70,3.879690e+02
21,30,80,3.871147e+02
21,30,90,3.871147e+02
21,30,100,3.871147e+02
21,30,1,4.747666e+02
21,30,2,4.531381e+02
21,30,3,4.438609e+02
21,30,5,4.361846e+02
21,30,10,4.361846e+02
21,30,20,4.181316e+02
21,30,30,4.164629e+02
21,30,40,4.076226e+02
21,30,50,4.076226e+02
21,30,60,4.006375e+02
21,30,70,3.652643e+02
21,30,80,3.599663e+02
21,30,90,3.599663e+02
21,30,100,3.599663e+02
21,30,1,5.060719e+02
21,30,2,4.742947e+02
21,30,3,4.742947e+02
21,30,5,4.540996e+02
21,30,10,4.319073e+02
21,30,20,3.875898e+02
21,30,30,3.761131e+02
21,30,40,3.760869e+02
21,30,50,3.760869e+02
21,30,60,3.659719e+02
21,30,70,3.634410e+02
21,30,80,3.634410e+02
21,30,90,3.634410e+02
21,30,100,3.634410e+02
