funcid,dim,milestone,error
20,30,1,1.138401e+03
20,30,2,7.432982e+02
20,30,3,6.782217e+02
20,30,5,6.089005e+02
20,30,10,4.675007e+02
20,30,20,4.675007e+02
20,30,30,4.411864e+02
20,30,40,4.411864e+02
20,30,50,4.411864e+02
20,30,60,4.411864e+02
20,30,70,4.411864e+02
20,30,80,3.842657e+02
20,30,90,3.842657e+02
20,30,100,3.842657e+02
20,30,1,1.363578e+03
20,30,2,1.003491e+03
20,30,3,9.180532e+02
20,30,5,9.180532e+02
20,30,10,9.180532e+02
20,30,20,8.748391e+02
20,30,30,8.748391e+02
20,30,40,7.758577e+02
20,30,50,7.758577e+02
20,30,60,7.758577e+02
20,30,70,6.972113e+02
20,30,80,6.972113e+02
20,30,90,6.972113e+02
20,30,100,6.972113e+02
20,30,1,1.161134e+03
20,30,2,9.376245e+02
20,30,3,5.568544e+02
20,30,5,5.295846e+02
20,30,10,5.037859e+02
20,30,20,4.853656e+02
20,30,30,4.172233e+02
20,30,40,3.979083e+02
20,30,50,3.925354e+02
20,30,60,3.572865e+02
20,30,70,3.572865e+02
20,30,80,3.328093e+02
20,30,90,3.328093e+02
20,30,100,3.328093e+02
20,30,1,1.191681e+03
20,30,2,9.101255e+02
20,30,3,8.459752e+02
20,30,5,8.459752e+02
20,30,10,7.437912e+02
20,30,20,5.647111e+02
20,30,30,5.647111e+02
20,30,40,3.974953e+02
20,30,50,3.974953e+02
20,30,60,3.974953e+02
20,30,70,3.974953e+02
20,30,80,3.974953e+02
20,30,90,3.974953e+02
20,30,100,3.974953e+02
20,30,1,1.068063e+03
20,30,2,9.815139e+02
20,30,3,9.597183e+02
20,30,5,9.526544e+02
20,30,10,6.433673e+02
20,30,20,6.433673e+02
20,30,30,6.427788e+02
20,30,40,6.427788e+02
20,30,50,5.669558e+02
20,30,60,5.669558e+02
20,30,70,5.567478e+02
20,30,80,5.271361e+02
20,30,90,5.271361e+02
20,30,100,5.271361e+02
