funcid,dim,milestone,error
5,10,1,1.059915e+02
5,10,2,6.284696e+01
5,10,3,5.669515e+01
5,10,5,5.669515e+01
5,10,10,4.313013e+01
5,10,20,4.313013e+01
5,10,30,4.313013e+01
5,10,40,4.313013e+01
5,10,50,4.188476e+01
5,10,60,3.624778e+01
5,10,70,3.432597e+01
5,10,80,3.099660e+01
5,10,90,3.099660e+01
5,10,100,3.099660e+01
5,10,1,8.598195e+01
5,10,2,6.020829e+01
5,10,3,5.595297e+01
5,10,5,5.203392e+01
5,10,10,3.729184e+01
5,10,20,3.729184e+01
5,10,30,3.729184e+01
5,10,40,3.268682e+01
5,10,50,2.457359e+01
5,10,60,2.457359e+01
5,10,70,1.898111e+01
5,10,80,1.898111e+01
5,10,90,1.898111e+01
5,10,100,1.898111e+01
5,10,1,7.367618e+01
5,10,2,5.468855e+01
5,10,3,5.468855e+01
5,10,5,5.235729e+01
5,10,10,4.743885e+01
5,10,20,4.743885e+01
5,10,30,4.307488e+01
5,10,40,3.964443e+01
5,10,50,3.650500e+01
5,10,60,3.650500e+01
5,10,70,2.938199e+01
5,10,80,2.938199e+01
5,10,90,2.938199e+01
5,10,100,2.938199e+01
5,10,1,1.013217e+02
5,10,2,6.143969e+01
5,10,3,5.313907e+01
5,10,5,5.313907e+01
5,10,10,5.313907e+01
5,10,20,3.512938e+01
5,10,30,3.354462e+01
5,10,40,3.354462e+01
5,10,50,3.004053e+01
5,10,60,3.004053e+01
5,10,70,2.419980e+01
5,10,80,2.419980e+01
5,10,90,2.419980e+01
5,10,100,2.419980e+01
5,10,1,9.071872e+01
5,10,2,6.773194e+01
5,10,3,5.252640e+01
5,10,5,4.218569e+01
5,10,10,3.653105e+01
5,10,20,3.228322e+01
5,10,30,3.102787e+01
5,10,40,3.102787e+01
5,10,50,3.102787e+01
5,10,60,2.980834e+01
5,10,70,2.724676e+01
5,10,80,1.739433e+01
5,10,90,1.739433e+01
5,10,100,1.739433e+01
5,10,1,1.083835e+02
5,10,2,7.637992e+01
5,10,3,6.347674e+01
5,10,5,4.849932e+01
5,10,10,4.679488e+01
5,10,20,4.221439e+01
5,10,30,2.889467e+01
5,10,40,2.889467e+01
5,10,50,2.889467e+01
5,10,60,2.889467e+01
5,10,70,2.766067e+01
5,10,80,2.511224e+01
5,10,90,2.511224e+01
5,10,100,2.511224e+01
5,10,1,7.281786e+01
5,10,2,5.965767e+01
5,10,3,5.918678e+01
5,10,5,5.112219e+01
5,10,10,5.112219e+01
5,10,20,4.292984e+01
5,10,30,4.008805e+01
5,10,40,3.479126e+01
5,10,50,3.116517e+01
5,10,60,3.002597e+01
5,10,70,2.370722e+01
5,10,80,1.948220e+01
5,10,90,1.948220e+01
5,10,100,1.948220e+01
5,10,1,7.629303e+01
5,10,2,7.629303e+01
5,10,3,7.629303e+01
5,10,5,6.471310e+01
5,10,10,5.021556e+01
5,10,20,4.962009e+01
5,10,30,4.619961e+01
5,10,40,4.162746e+01
5,10,50,4.039943e+01
5,10,60,3.872343e+01
5,10,70,3.775393e+01
5,10,80,3.775393e+01
5,10,90,3.775393e+01
5,10,100,3.775393e+01
5,10,1,7.208703e+01
5,10,2,6.653303e+01
5,10,3,4.760303e+01
5,10,5,4.227789e+01
5,10,10,4.227789e+01
5,10,20,4.227789e+01
5,10,30,3.531361e+01
5,10,40,3.531361e+01
5,10,50,3.460133e+01
5,10,60,3.460133e+01
5,10,70,2.599127e+01
5,10,80,2.319892e+01
5,10,90,2.319892e+01
5,10,100,2.319892e+01
5,10,1,7.388215e+01
5,10,2,6.364906e+01
5,10,3,5.835373e+01
5,10,5,4.299452e+01
5,10,10,4.299452e+01
5,10,20,4.299452e+01
5,10,30,4.299452e+01
5,10,40,3.833645e+01
5,10,50,3.172499e+01
5,10,60,3.172499e+01
5,10,70,3.116369e+01
5,10,80,2.505290e+01
5,10,90,2.505290e+01
5,10,100,2.505290e+01
