funcid,dim,milestone,error
9,10,1,1.237649e+03
9,10,2,5.340495e+02
9,10,3,1.891748e+02
9,10,5,1.068641e+02
9,10,10,2.465046e+01
9,10,20,2.215568e+01
9,10,30,1.821771e+01
9,10,40,1.127556e+01
9,10,50,9.201587e+00
9,10,60,5.306953e+00
9,10,70,3.235674e+00
9,10,80,2.846490e+00
9,10,90,2.846490e+00
9,10,100,2.846490e+00
9,10,1,7.286633e+02
9,10,2,2.639110e+02
9,10,3,1.553970e+02
9,10,5,7.136652e+01
9,10,10,3.509961e+01
9,10,20,1.393043e+01
9,10,30,1.197565e+01
9,10,40,9.668202e+00
9,10,50,7.461682e+00
9,10,60,4.795545e+00
9,10,70,4.194343e+00
9,10,80,2.457522e+00
9,10,90,2.457522e+00
9,10,100,2.457522e+00
9,10,1,1.015673e+03
9,10,2,3.275003e+02
9,10,3,1.644394e+02
9,10,5,9.167994e+01
9,10,10,4.786194e+01
9,10,20,3.886861e+01
9,10,30,2.372467e+01
9,10,40,2.372467e+01
9,10,50,4.613970e+00
9,10,60,1.859681e+00
9,10,70,1.859681e+00
9,10,80,1.859681e+00
9,10,90,1.859681e+00
9,10,100,1.859681e+00
9,10,1,9.185359e+02
9,10,2,3.343267e+02
9,10,3,8.722994e+01
9,10,5,8.722994e+01
9,10,10,2.802433e+01
9,10,20,2.017033e+01
9,10,30,1.525417e+01
9,10,40,9.482905e+00
9,10,50,8.085908e+00
9,10,60,4.859868e+00
9,10,70,4.859868e+00
9,10,80,4.859868e+00
9,10,90,4.859868e+00
9,10,100,4.859868e+00
9,10,1,1.365097e+03
9,10,2,4.338947e+02
9,10,3,9.900327e+01
9,10,5,7.297915e+01
9,10,10,1.902205e+01
9,10,20,1.774242e+01
9,10,30,9.937208e+00
9,10,40,9.937208e+00
9,10,50,1.426674e+00
9,10,60,1.426674e+00
9,10,70,1.426674e+00
9,10,80,1.426674e+00
9,10,90,1.426674e+00
9,10,100,1.426674e+00
9,10,1,1.399632e+03
9,10,2,2.217355e+02
9,10,3,1.759519e+02
9,10,5,9.513181e+01
9,10,10,6.020972e+01
9,10,20,1.654807e+01
9,10,30,1.449323e+01
9,10,40,8.912961e+00
9,10,50,6.913352e+00
9,10,60,5.515708e+00
9,10,70,3.398778e+00
9,10,80,2.098108e+00
9,10,90,2.098108e+00
9,10,100,2.098108e+00
9,10,1,1.340259e+03
9,10,2,4.370691e+02
9,10,3,1.320615e+02
9,10,5,6.833559e+01
9,10,10,4.332773e+01
9,10,20,4.032396e+01
9,10,30,2.286432e+01
9,10,40,1.379678e+01
9,10,50,1.379678e+01
9,10,60,1.379678e+01
9,10,70,1.379678e+01
9,10,80,1.379678e+01
9,10,90,1.379678e+01
9,10,100,1.379678e+01
9,10,1,9.042320e+02
9,10,2,3.757411e+02
9,10,3,1.462777e+02
9,10,5,6.033763e+01
9,10,10,3.345351e+01
9,10,20,1.619211e+01
9,10,30,3.374902e+00
9,10,40,3.374902e+00
9,10,50,3.374902e+00
9,10,60,3.374902e+00
9,10,70,1.230442e+00
9,10,80,7.840988e-01
9,10,90,7.840988e-01
9,10,100,7.840988e-01
9,10,1,8.397123e+02
9,10,2,1.900114e+02
9,10,3,9.616650e+01
9,10,5,4.399897e+01
9,10,10,2.378799e+01
9,10,20,1.477969e+01
9,10,30,7.119731e+00
9,10,40,7.119731e+00
9,10,50,3.902254e+00
9,10,60,3.601639e+00
9,10,70,3.601639e+00
9,10,80,2.068209e+00
9,10,90,2.068209e+00
9,10,100,2.068209e+00
9,10,1,2.089920e+03
9,10,2,5.210759e+02
9,10,3,1.000462e+02
9,10,5,1.000462e+02
9,10,10,5.744641e+01
9,10,20,4.684821e+01
9,10,30,2.773831e+01
9,10,40,1.882522e+01
9,10,50,1.780089e+01
9,10,60,1.698019e+01
9,10,70,1.349930e+01
9,10,80,1.349930e+01
9,10,90,1.349930e+01
9,10,100,1.349930e+01
