funcid,dim,milestone,error
18,30,1,1.404838e+07
18,30,2,5.286915e+06
18,30,3,2.886694e+06
18,30,5,1.579411e+06
18,30,10,1.138002e+06
18,30,20,8.263432e+05
18,30,30,8.263432e+05
18,30,40,7.443331e+05
18,30,50,7.443331e+05
18,30,60,5.483489e+05
18,30,70,4.341446e+05
18,30,80,4.341446e+05
18,30,90,4.341446e+05
18,30,100,4.341446e+05
18,30,1,8.150083e+06
18,30,2,7.907628e+06
18,30,3,2.993841e+06
18,30,5,2.993841e+06
18,30,10,1.737371e+06
18,30,20,1.505826e+06
18,30,30,9.090092e+05
18,30,40,8.747609e+05
18,30,50,8.747609e+05
18,30,60,6.163503e+05
18,30,70,6.163503e+05
18,30,80,6.163503e+05
18,30,90,6.163503e+05
18,30,100,6.163503e+05
18,30,1,3.369213e+07
18,30,2,5.094733e+06
18,30,3,3.136313e+06
18,30,5,3.136313e+06
18,30,10,1.243543e+06
18,30,20,1.243543e+06
18,30,30,1.243543e+06
18,30,40,1.066282e+06
18,30,50,2.666651e+05
18,30,60,1.745198e+05
18,30,70,1.745198e+05
18,30,80,1.745198e+05
18,30,90,1.745198e+05
18,30,100,1.745198e+05
18,30,1,2.252385e+07
18,30,2,1.958649e+07
18,30,3,1.931697e+07
18,30,5,1.341194e+07
18,30,10,1.341194e+07
18,30,20,4.064699e+06
18,30,30,2.022297e+06
18,30,40,1.947987e+06
18,30,50,1.721336e+06
18,30,60,1.721336e+06
18,30,70,1.448349e+06
18,30,80,1.448349e+06
18,30,90,1.448349e+06
18,30,100,1.448349e+06
18,30,1,1.866626e+07
18,30,2,1.189918e+07
18,30,3,6.443191e+06
18,30,5,6.443191e+06
18,30,10,2.722611e+06
18,30,20,2.216199e+06
18,30,30,1.883094e+06
18,30,40,1.724289e+06
18,30,50,1.514477e+06
18,30,60,1.258895e+06
18,30,70,1.258895e+06
18,30,80,1.258895e+06
18,30,90,1.258895e+06
18,30,100,1.258895e+06
