funcid,dim,milestone,error
9,30,1,5.482490e+03
9,30,2,2.598574e+03
9,30,3,2.598574e+03
9,30,5,2.085236e+03
9,30,10,2.085236e+03
9,30,20,1.996774e+03
9,30,30,1.812579e+03
9,30,40,1.812579e+03
9,30,50,1.812579e+03
9,30,60,1.812579e+03
9,30,70,1.507011e+03
9,30,80,1.507011e+03
9,30,90,1.507011e+03
9,30,100,1.507011e+03
9,30,1,6.439839e+03
9,30,2,2.547252e+03
9,30,3,2.547252e+03
9,30,5,2.547252e+03
9,30,10,1.979466e+03
9,30,20,1.979466e+03
9,30,30,1.774220e+03
9,30,40,1.774220e+03
9,30,50,1.774220e+03
9,30,60,1.774220e+03
9,30,70,1.774220e+03
9,30,80,1.774220e+03
9,30,90,1.774220e+03
9,30,100,1.774220e+03
9,30,1,4.243258e+03
9,30,2,3.697585e+03
9,30,3,3.302590e+03
9,30,5,2.611250e+03
9,30,10,2.611250e+03
9,30,20,2.060241e+03
9,30,30,2.060241e+03
9,30,40,2.058785e+03
9,30,50,2.058785e+03
9,30,60,2.058785e+03
9,30,70,2.058785e+03
9,30,80,2.058785e+03
9,30,90,2.058785e+03
9,30,100,2.058785e+03
9,30,1,4.901277e+03
9,30,2,4.126073e+03
9,30,3,2.979040e+03
9,30,5,2.228882e+03
9,30,10,2.084596e+03
9,30,20,2.023168e+03
9,30,30,2.004946e+03
9,30,40,2.004946e+03
9,30,50,1.730255e+03
9,30,60,1.658253e+03
9,30,70,1.658253e+03
9,30,80,1.658253e+03
9,30,90,1.658253e+03
9,30,100,1.658253e+03
9,30,1,7.384859e+03
9,30,2,4.529830e+03
9,30,3,2.320460e+03
9,30,5,1.764167e+03
9,30,10,1.737174e+03
9,30,20,1.552083e+03
9,30,30,1.038759e+03
9,30,40,1.038759e+03
9,30,50,1.038759e+03
9,30,60,9.816379e+02
9,30,70,8.610794e+02
9,30,80,8.610794e+02
9,30,90,8.610794e+02
9,30,100,8.610794e+02
