funcid,dim,milestone,error
14,30,1,1.305636e+06
14,30,2,6.944277e+05
14,30,3,6.370598e+05
14,30,5,1.420674e+05
14,30,10,1.133928e+05
14,30,20,1.043494e+05
14,30,30,4.088193e+04
14,30,40,4.088193e+04
14,30,50,3.252486e+04
14,30,60,3.234047e+04
14,30,70,2.438762e+04
14,30,80,2.438762e+04
14,30,90,2.438762e+04
14,30,100,2.438762e+04
14,30,1,1.192968e+06
14,30,2,2.208119e+05
14,30,3,2.208119e+05
14,30,5,2.090172e+05
14,30,10,1.715490e+05
14,30,20,9.807853e+04
14,30,30,9.807853e+04
14,30,40,8.663162e+04
14,30,50,8.663162e+04
14,30,60,8.663162e+04
14,30,70,8.277286e+04
14,30,80,8.277286e+04
14,30,90,8.277286e+04
14,30,100,8.277286e+04
14,30,1,5.620315e+06
14,30,2,4.113900e+06
14,30,3,2.579121e+06
14,30,5,1.744396e+06
14,30,10,3.483021e+05
14,30,20,3.231491e+05
14,30,30,2.646517e+05
14,30,40,2.557888e+05
14,30,50,2.557888e+05
14,30,60,2.537713e+05
14,30,70,2.518260e+05
14,30,80,2.518260e+05
14,30,90,2.518260e+05
14,30,100,2.518260e+05
14,30,1,3.921599e+05
14,30,2,1.783268e+05
14,30,3,1.603387e+05
14,30,5,3.824632e+04
14,30,10,3.824632e+04
14,30,20,3.824632e+04
14,30,30,2.570160e+04
14,30,40,2.570160e+04
14,30,50,2.570160e+04
14,30,60,2.570160e+04
14,30,70,1.811052e+04
14,30,80,1.811052e+04
14,30,90,1.811052e+04
14,30,100,1.811052e+04
14,30,1,1.317731e+06
14,30,2,2.874782e+05
14,30,3,2.277896e+05
14,30,5,1.104098e+05
14,30,10,1.104098e+05
14,30,20,1.008964e+05
14,30,30,7.165586e+04
14,30,40,7.165586e+04
14,30,50,7.165586e+04
14,30,60,7.165586e+04
14,30,70,7.165586e+04
14,30,80,6.825308e+04
14,30,90,6.825308e+04
14,30,100,6.825308e+04
