funcid,dim,milestone,error
19,30,1,7.035254e+07
19,30,2,2.818638e+07
19,30,3,2.818638e+07
19,30,5,1.409740e+07
19,30,10,1.409740e+07
19,30,20,7.782950e+06
19,30,30,3.254802e+06
19,30,40,3.254802e+06
19,30,50,3.254802e+06
19,30,60,1.074871e+06
19,30,70,7.689718e+05
19,30,80,7.689718e+05
19,30,90,7.689718e+05
19,30,100,7.689718e+05
19,30,1,3.331747e+07
19,30,2,3.331747e+07
19,30,3,3.118957e+07
19,30,5,2.382362e+07
19,30,10,8.948235e+06
19,30,20,8.948235e+06
19,30,30,8.948235e+06
19,30,40,6.310498e+06
19,30,50,5.142282e+06
19,30,60,3.240345e+06
19,30,70,1.611491e+06
19,30,80,1.611491e+06
19,30,90,1.611491e+06
19,30,100,1.611491e+06
19,30,1,1.086518e+08
19,30,2,1.532469e+07
19,30,3,1.532469e+07
19,30,5,1.532469e+07
19,30,10,4.525911e+06
19,30,20,4.525911e+06
19,30,30,4.525911e+06
19,30,40,4.525911e+06
19,30,50,1.314918e+06
19,30,60,1.314918e+06
19,30,70,1.288624e+06
19,30,80,1.288624e+06
19,30,90,1.288624e+06
19,30,100,1.288624e+06
19,30,1,1.100590e+08
19,30,2,2.061012e+07
19,30,3,1.497145e+07
19,30,5,1.497145e+07
19,30,10,1.497145e+07
19,30,20,5.844147e+06
19,30,30,5.844147e+06
19,30,40,5.844147e+06
19,30,50,5.844147e+06
19,30,60,3.116759e+06
19,30,70,3.116759e+06
19,30,80,3.116759e+06
19,30,90,3.116759e+06
19,30,100,3.116759e+06
19,30,1,8.968047e+07
19,30,2,5.161518e+07
19,30,3,5.161518e+07
19,30,5,3.630009e+07
19,30,10,3.630009e+07
19,30,20,4.862182e+06
19,30,30,4.862182e+06
19,30,40,4.687267e+06
19,30,50,4.687267e+06
19,30,60,4.628295e+06
19,30,70,2.720242e+06
19,30,80,2.720242e+06
19,30,90,2.720242e+06
19,30,100,2.720242e+06
