funcid,dim,milestone,error
13,30,1,7.692235e+08
13,30,2,3.108369e+08
13,30,3,3.108369e+08
13,30,5,3.108369e+08
13,30,10,2.164695e+08
13,30,20,2.164695e+08
13,30,30,1.746457e+08
13,30,40,8.904388e+07
13,30,50,6.549866e+07
13,30,60,6.549866e+07
13,30,70,2.933919e+07
13,30,80,1.249685e+07
13,30,90,1.249685e+07
13,30,100,1.249685e+07
13,30,1,8.283953e+08
13,30,2,2.804826e+08
13,30,3,2.804826e+08
13,30,5,2.804826e+08
13,30,10,2.552897e+08
13,30,20,1.013290e+08
13,30,30,8.377110e+07
13,30,40,5.673622e+07
13,30,50,5.673622e+07
13,30,60,5.673622e+07
13,30,70,3.689559e+07
13,30,80,2.287800e+07
13,30,90,2.287800e+07
13,30,100,2.287800e+07
13,30,1,7.489251e+08
13,30,2,3.692903e+08
13,30,3,2.805862e+08
13,30,5,2.805862e+08
13,30,10,2.805862e+08
13,30,20,8.743118e+07
13,30,30,4.999397e+07
13,30,40,4.999397e+07
13,30,50,4.999397e+07
13,30,60,2.654865e+07
13,30,70,1.675324e+07
13,30,80,1.208743e+07
13,30,90,1.208743e+07
13,30,100,1.208743e+07
13,30,1,6.019034e+08
13,30,2,5.314243e+08
13,30,3,2.894624e+08
13,30,5,2.894624e+08
13,30,10,1.992593e+08
13,30,20,1.602894e+08
13,30,30,1.469870e+08
13,30,40,5.121348e+07
13,30,50,5.121348e+07
13,30,60,3.225724e+07
13,30,70,3.225724e+07
13,30,80,5.852545e+06
13,30,90,5.852545e+06
13,30,100,5.852545e+06
13,30,1,7.597531e+08
13,30,2,3.585201e+08
13,30,3,2.155139e+08
13,30,5,2.023641e+08
13,30,10,1.607830e+08
13,30,20,1.607830e+08
13,30,30,1.319989e+08
13,30,40,1.175035e+08
13,30,50,1.068888e+08
13,30,60,7.045391e+07
13,30,70,6.512556e+07
13,30,80,5.012632e+07
13,30,90,5.012632e+07
13,30,100,5.012632e+07
