funcid,dim,milestone,error
28,30,1,1.847948e+03
28,30,2,9.775469e+02
28,30,3,9.266173e+02
28,30,5,8.406728e+02
28,30,10,7.425093e+02
28,30,20,6.816494e+02
28,30,30,6.721040e+02
28,30,40,6.463205e+02
28,30,50,6.393915e+02
28,30,60,6.299376e+02
28,30,70,6.176535e+02
28,30,80,6.035597e+02
28,30,90,6.035597e+02
28,30,100,6.035597e+02
28,30,1,1.572061e+03
28,30,2,9.627567e+02
28,30,3,7.976751e+02
28,30,5,7.492878e+02
28,30,10,7.445909e+02
28,30,20,6.589490e+02
28,30,30,6.566413e+02
28,30,40,6.266652e+02
28,30,50,6.158531e+02
28,30,60,5.880169e+02
28,30,70,5.751101e+02
28,30,80,5.607690e+02
28,30,90,5.607690e+02
28,30,100,5.607690e+02
28,30,1,1.384244e+03
28,30,2,7.988428e+02
28,30,3,7.780929e+02
28,30,5,6.642269e+02
28,30,10,6.506463e+02
28,30,20,6.481092e+02
28,30,30,6.261495e+02
28,30,40,6.261495e+02
28,30,50,6.261495e+02
28,30,60,5.716112e+02
28,30,70,5.537540e+02
28,30,80,5.275141e+02
28,30,90,5.275141e+02
28,30,100,5.275141e+02
28,30,1,1.279418e+03
28,30,2,7.927390e+02
28,30,3,7.556158e+02
28,30,5,6.509132e+02
28,30,10,6.509132e+02
28,30,20,6.358530e+02
28,30,30,6.208889e+02
28,30,40,6.065188e+02
28,30,50,5.567423e+02
28,30,60,5.461548e+02
28,30,70,5.292284e+02
28,30,80,5.157624e+02
28,30,90,5.157624e+02
28,30,100,5.157624e+02
28,30,1,1.778227e+03
28,30,2,9.323808e+02
28,30,3,8.192581e+02
28,30,5,7.977460e+02
28,30,10,7.813477e+02
28,30,20,7.314174e+02
28,30,30,6.965405e+02
28,30,40,6.673817e+02
28,30,50,6.443621e+02
28,30,60,5.829377e+02
28,30,70,5.781900e+02
28,30,80,5.717587e+02
28,30,90,5.717587e+02
28,30,100,5.717587e+02
