funcid,dim,milestone,error
13,30,1,7.743254e+08
13,30,2,3.226075e+08
13,30,3,3.226075e+08
13,30,5,3.226075e+08
13,30,10,2.610347e+08
13,30,20,1.886815e+08
13,30,30,1.886815e+08
13,30,40,1.886815e+08
13,30,50,1.886815e+08
13,30,60,1.886815e+08
13,30,70,1.886815e+08
13,30,80,1.886815e+08
13,30,90,1.886815e+08
13,30,100,1.886815e+08
13,30,1,8.317719e+08
13,30,2,3.087144e+08
13,30,3,3.087144e+08
13,30,5,3.087144e+08
13,30,10,2.797979e+08
13,30,20,1.326929e+08
13,30,30,8.977773e+07
13,30,40,8.977773e+07
13,30,50,8.977773e+07
13,30,60,8.977773e+07
13,30,70,8.977773e+07
13,30,80,8.977773e+07
13,30,90,6.012816e+07
13,30,100,6.012816e+07
13,30,1,7.652720e+08
13,30,2,3.830161e+08
13,30,3,3.660559e+08
13,30,5,3.660559e+08
13,30,10,1.180634e+08
13,30,20,1.180634e+08
13,30,30,1.180634e+08
13,30,40,1.180634e+08
13,30,50,1.180634e+08
13,30,60,9.645508e+07
13,30,70,9.645508e+07
13,30,80,9.645508e+07
13,30,90,8.083395e+07
13,30,100,8.083395e+07
13,30,1,6.102236e+08
13,30,2,5.368374e+08
13,30,3,2.930922e+08
13,30,5,2.930922e+08
13,30,10,2.061612e+08
13,30,20,1.353032e+08
13,30,30,1.353032e+08
13,30,40,1.353032e+08
13,30,50,6.549626e+07
13,30,60,6.549626e+07
13,30,70,6.549626e+07
13,30,80,6.549626e+07
13,30,90,6.549626e+07
13,30,100,6.549626e+07
13,30,1,7.629444e+08
13,30,2,2.797071e+08
13,30,3,2.797071e+08
13,30,5,2.797071e+08
13,30,10,2.797071e+08
13,30,20,1.832690e+08
13,30,30,1.020809e+08
13,30,40,1.020809e+08
13,30,50,1.020809e+08
13,30,60,1.020809e+08
13,30,70,1.020809e+08
13,30,80,1.020809e+08
13,30,90,1.020809e+08
13,30,100,9.899228e+07
