funcid,dim,milestone,error
16,10,1,7.271765e+02
16,10,2,1.869871e+02
16,10,3,1.869871e+02
16,10,5,6.894356e+01
16,10,10,6.894356e+01
16,10,20,6.282090e+01
16,10,30,5.563427e+01
16,10,40,5.563427e+01
16,10,50,5.563427e+01
16,10,60,5.563427e+01
16,10,70,5.249918e+01
16,10,80,5.249918e+01
16,10,90,5.249918e+01
16,10,100,4.961165e+01
16,10,1,6.294489e+02
16,10,2,3.685947e+02
16,10,3,3.685947e+02
16,10,5,2.237717e+02
16,10,10,2.106363e+02
16,10,20,2.106363e+02
16,10,30,1.995846e+02
16,10,40,1.789817e+02
16,10,50,1.734554e+02
16,10,60,1.702995e+02
16,10,70,1.694130e+02
16,10,80,1.694130e+02
16,10,90,1.617560e+02
16,10,100,1.617560e+02
16,10,1,2.872574e+02
16,10,2,8.236315e+01
16,10,3,8.236315e+01
16,10,5,8.236315e+01
16,10,10,8.236315e+01
16,10,20,7.448462e+01
16,10,30,7.042636e+01
16,10,40,6.804615e+01
16,10,50,6.804615e+01
16,10,60,6.804615e+01
16,10,70,6.804615e+01
16,10,80,6.400203e+01
16,10,90,6.400203e+01
16,10,100,6.400203e+01
16,10,1,2.972861e+02
16,10,2,2.972861e+02
16,10,3,1.155629e+02
16,10,5,1.155629e+02
16,10,10,7.609357e+01
16,10,20,7.609357e+01
16,10,30,7.609357e+01
16,10,40,7.609357e+01
16,10,50,7.609357e+01
16,10,60,7.609357e+01
16,10,70,7.609357e+01
16,10,80,7.609357e+01
16,10,90,7.609357e+01
16,10,100,7.305173e+01
16,10,1,4.169420e+02
16,10,2,1.668970e+02
16,10,3,1.668970e+02
16,10,5,1.668970e+02
16,10,10,1.263346e+02
16,10,20,4.895942e+01
16,10,30,3.867817e+01
16,10,40,3.867817e+01
16,10,50,3.867817e+01
16,10,60,3.585230e+01
16,10,70,2.015852e+01
16,10,80,2.015852e+01
16,10,90,2.015852e+01
16,10,100,2.015852e+01
16,10,1,5.926661e+02
16,10,2,5.620057e+02
16,10,3,4.916053e+02
16,10,5,2.523319e+02
16,10,10,1.983731e+02
16,10,20,1.751061e+02
16,10,30,1.751061e+02
16,10,40,1.751061e+02
16,10,50,1.751061e+02
16,10,60,1.733041e+02
16,10,70,1.733041e+02
16,10,80,1.733041e+02
16,10,90,1.733041e+02
16,10,100,1.733041e+02
16,10,1,6.246626e+02
16,10,2,4.708118e+02
16,10,3,4.708118e+02
16,10,5,3.703441e+02
16,10,10,1.560605e+02
16,10,20,1.560605e+02
16,10,30,1.560605e+02
16,10,40,1.560605e+02
16,10,50,1.560605e+02
16,10,60,1.560605e+02
16,10,70,1.560605e+02
16,10,80,1.560605e+02
16,10,90,1.560605e+02
16,10,100,1.560605e+02
16,10,1,2.917785e+02
16,10,2,2.594200e+02
16,10,3,2.594200e+02
16,10,5,2.119360e+02
16,10,10,1.724102e+02
16,10,20,1.724102e+02
16,10,30,1.724102e+02
16,10,40,1.724102e+02
16,10,50,1.633270e+02
16,10,60,1.633270e+02
16,10,70,1.633270e+02
16,10,80,1.633270e+02
16,10,90,1.633270e+02
16,10,100,1.633270e+02
16,10,1,6.483829e+02
16,10,2,3.171863e+02
16,10,3,1.982706e+02
16,10,5,8.034996e+01
16,10,10,8.034996e+01
16,10,20,5.660971e+01
16,10,30,5.660971e+01
16,10,40,5.660971e+01
16,10,50,5.660971e+01
16,10,60,5.660971e+01
16,10,70,5.660971e+01
16,10,80,3.949316e+01
16,10,90,3.104100e+01
16,10,100,3.104100e+01
16,10,1,5.568199e+02
16,10,2,4.255832e+02
16,10,3,3.127544e+02
16,10,5,2.117082e+02
16,10,10,1.578322e+02
16,10,20,6.278613e+01
16,10,30,4.915615e+01
16,10,40,4.915615e+01
16,10,50,4.915615e+01
16,10,60,4.915615e+01
16,10,70,4.915615e+01
16,10,80,4.915615e+01
16,10,90,4.915615e+01
16,10,100,4.915615e+01
