funcid,dim,milestone,error
5,10,1,1.059915e+02
5,10,2,6.244901e+01
5,10,3,6.042333e+01
5,10,5,5.371830e+01
5,10,10,4.771750e+01
5,10,20,4.771750e+01
5,10,30,4.402535e+01
5,10,40,4.402535e+01
5,10,50,4.402535e+01
5,10,60,3.847222e+01
5,10,70,3.847222e+01
5,10,80,3.847222e+01
5,10,90,3.847222e+01
5,10,100,3.847222e+01
5,10,1,8.598195e+01
5,10,2,5.972014e+01
5,10,3,5.972014e+01
5,10,5,5.972014e+01
5,10,10,4.869407e+01
5,10,20,3.961582e+01
5,10,30,3.961582e+01
5,10,40,3.961582e+01
5,10,50,3.961582e+01
5,10,60,3.961582e+01
5,10,70,3.961582e+01
5,10,80,3.961582e+01
5,10,90,3.961582e+01
5,10,100,3.961582e+01
5,10,1,7.367618e+01
5,10,2,5.695309e+01
5,10,3,5.695309e+01
5,10,5,5.278485e+01
5,10,10,5.278485e+01
5,10,20,5.278485e+01
5,10,30,5.278485e+01
5,10,40,5.278485e+01
5,10,50,5.278485e+01
5,10,60,4.449946e+01
5,10,70,4.449946e+01
5,10,80,4.449946e+01
5,10,90,4.449946e+01
5,10,100,4.204303e+01
5,10,1,1.013217e+02
5,10,2,6.143616e+01
5,10,3,5.615585e+01
5,10,5,5.000474e+01
5,10,10,5.000474e+01
5,10,20,4.723640e+01
5,10,30,4.723640e+01
5,10,40,4.387299e+01
5,10,50,4.299561e+01
5,10,60,4.114995e+01
5,10,70,4.114995e+01
5,10,80,4.114995e+01
5,10,90,3.861170e+01
5,10,100,3.861170e+01
5,10,1,9.071872e+01
5,10,2,6.770549e+01
5,10,3,6.212572e+01
5,10,5,5.321836e+01
5,10,10,3.963928e+01
5,10,20,3.963928e+01
5,10,30,3.963928e+01
5,10,40,3.399396e+01
5,10,50,3.174052e+01
5,10,60,3.174052e+01
5,10,70,3.174052e+01
5,10,80,3.174052e+01
5,10,90,3.174052e+01
5,10,100,3.174052e+01
5,10,1,1.083835e+02
5,10,2,7.901871e+01
5,10,3,6.196901e+01
5,10,5,5.710102e+01
5,10,10,4.722173e+01
5,10,20,4.101859e+01
5,10,30,3.559518e+01
5,10,40,3.559518e+01
5,10,50,2.740558e+01
5,10,60,2.740558e+01
5,10,70,2.740558e+01
5,10,80,2.740558e+01
5,10,90,2.740558e+01
5,10,100,2.740558e+01
5,10,1,7.281786e+01
5,10,2,5.782003e+01
5,10,3,5.782003e+01
5,10,5,5.782003e+01
5,10,10,5.000149e+01
5,10,20,5.000149e+01
5,10,30,5.000149e+01
5,10,40,4.276000e+01
5,10,50,4.276000e+01
5,10,60,3.857697e+01
5,10,70,3.857697e+01
5,10,80,3.857697e+01
5,10,90,3.857697e+01
5,10,100,3.857697e+01
5,10,1,7.629303e+01
5,10,2,7.629303e+01
5,10,3,7.629303e+01
5,10,5,6.916496e+01
5,10,10,6.257097e+01
5,10,20,5.011412e+01
5,10,30,4.519427e+01
5,10,40,4.519427e+01
5,10,50,4.519427e+01
5,10,60,4.519427e+01
5,10,70,4.519427e+01
5,10,80,4.519427e+01
5,10,90,4.311886e+01
5,10,100,4.311886e+01
5,10,1,7.208703e+01
5,10,2,6.078952e+01
5,10,3,5.108419e+01
5,10,5,4.946645e+01
5,10,10,4.620335e+01
5,10,20,4.620335e+01
5,10,30,4.620335e+01
5,10,40,4.010988e+01
5,10,50,3.752410e+01
5,10,60,3.752410e+01
5,10,70,3.752410e+01
5,10,80,3.752410e+01
5,10,90,3.752410e+01
5,10,100,3.752410e+01
5,10,1,7.388215e+01
5,10,2,6.394586e+01
5,10,3,6.212403e+01
5,10,5,5.164646e+01
5,10,10,4.972720e+01
5,10,20,4.636942e+01
5,10,30,4.636942e+01
5,10,40,4.456246e+01
5,10,50,3.125597e+01
5,10,60,3.125597e+01
5,10,70,3.125597e+01
5,10,80,3.125597e+01
5,10,90,3.125597e+01
5,10,100,3.125597e+01
