funcid,dim,milestone,error
22,30,1,8.333531e+03
22,30,2,7.804056e+03
22,30,3,7.804056e+03
22,30,5,7.804056e+03
22,30,10,7.804056e+03
22,30,20,7.804056e+03
22,30,30,7.804056e+03
22,30,40,7.357600e+03
22,30,50,7.357600e+03
22,30,60,7.299996e+03
22,30,70,7.299996e+03
22,30,80,7.299996e+03
22,30,90,7.292466e+03
22,30,100,7.271407e+03
22,30,1,1.873982e+03
22,30,2,1.060096e+03
22,30,3,1.060096e+03
22,30,5,9.904387e+02
22,30,10,9.602368e+02
22,30,20,9.520957e+02
22,30,30,9.494524e+02
22,30,40,9.153641e+02
22,30,50,9.153641e+02
22,30,60,9.153641e+02
22,30,70,9.153641e+02
22,30,80,9.038653e+02
22,30,90,8.111345e+02
22,30,100,8.111345e+02
22,30,1,1.847662e+03
22,30,2,9.594370e+02
22,30,3,8.561461e+02
22,30,5,8.065706e+02
22,30,10,7.208996e+02
22,30,20,5.893788e+02
22,30,30,5.893788e+02
22,30,40,5.893788e+02
22,30,50,5.744421e+02
22,30,60,5.744421e+02
22,30,70,5.744421e+02
22,30,80,5.744421e+02
22,30,90,5.744421e+02
22,30,100,5.744421e+02
22,30,1,1.871634e+03
22,30,2,1.154899e+03
22,30,3,1.006573e+03
22,30,5,9.396325e+02
22,30,10,6.990999e+02
22,30,20,6.445425e+02
22,30,30,6.445425e+02
22,30,40,6.445425e+02
22,30,50,6.119499e+02
22,30,60,6.119499e+02
22,30,70,6.119499e+02
22,30,80,5.704528e+02
22,30,90,5.704528e+02
22,30,100,5.704528e+02
22,30,1,2.989463e+03
22,30,2,1.065872e+03
22,30,3,9.447530e+02
22,30,5,8.661628e+02
22,30,10,7.375283e+02
22,30,20,6.865979e+02
22,30,30,6.865979e+02
22,30,40,6.481285e+02
22,30,50,6.481285e+02
22,30,60,6.481285e+02
22,30,70,6.374134e+02
22,30,80,6.374134e+02
22,30,90,6.374134e+02
22,30,100,6.374134e+02
