funcid,dim,milestone,error
4,30,1,1.116914e+03
4,30,2,4.858630e+02
4,30,3,4.858630e+02
4,30,5,4.858630e+02
4,30,10,4.858630e+02
4,30,20,3.104118e+02
4,30,30,2.357993e+02
4,30,40,2.357993e+02
4,30,50,2.357993e+02
4,30,60,2.357993e+02
4,30,70,2.357993e+02
4,30,80,2.357993e+02
4,30,90,2.357993e+02
4,30,100,2.357993e+02
4,30,1,2.087873e+03
4,30,2,7.905936e+02
4,30,3,5.818660e+02
4,30,5,4.934210e+02
4,30,10,4.799456e+02
4,30,20,3.689050e+02
4,30,30,3.551700e+02
4,30,40,3.551700e+02
4,30,50,3.502627e+02
4,30,60,3.280574e+02
4,30,70,3.280574e+02
4,30,80,3.280574e+02
4,30,90,3.280574e+02
4,30,100,3.171381e+02
4,30,1,1.893540e+03
4,30,2,7.723074e+02
4,30,3,5.009179e+02
4,30,5,4.160387e+02
4,30,10,3.103823e+02
4,30,20,3.035174e+02
4,30,30,2.928094e+02
4,30,40,2.744192e+02
4,30,50,2.744192e+02
4,30,60,2.744192e+02
4,30,70,2.609410e+02
4,30,80,2.609410e+02
4,30,90,2.609410e+02
4,30,100,2.609410e+02
4,30,1,1.748949e+03
4,30,2,7.258834e+02
4,30,3,5.335064e+02
4,30,5,3.895281e+02
4,30,10,3.895281e+02
4,30,20,3.277350e+02
4,30,30,3.277350e+02
4,30,40,3.277350e+02
4,30,50,3.277350e+02
4,30,60,3.277350e+02
4,30,70,3.191299e+02
4,30,80,3.191299e+02
4,30,90,3.191299e+02
4,30,100,3.191299e+02
4,30,1,2.009536e+03
4,30,2,1.092108e+03
4,30,3,7.587790e+02
4,30,5,5.764802e+02
4,30,10,5.711261e+02
4,30,20,5.631488e+02
4,30,30,5.631488e+02
4,30,40,5.631488e+02
4,30,50,5.631488e+02
4,30,60,4.982418e+02
4,30,70,4.642199e+02
4,30,80,4.407179e+02
4,30,90,4.407179e+02
4,30,100,4.407179e+02
