funcid,dim,milestone,error
25,30,1,1.442687e+03
25,30,2,8.054062e+02
25,30,3,7.058217e+02
25,30,5,6.558372e+02
25,30,10,6.123516e+02
25,30,20,5.903014e+02
25,30,30,5.903014e+02
25,30,40,5.903014e+02
25,30,50,5.880115e+02
25,30,60,5.880115e+02
25,30,70,5.880115e+02
25,30,80,5.880115e+02
25,30,90,5.725387e+02
25,30,100,5.708856e+02
25,30,1,1.184205e+03
25,30,2,6.155638e+02
25,30,3,5.651741e+02
25,30,5,4.912111e+02
25,30,10,4.912111e+02
25,30,20,4.708932e+02
25,30,30,4.708932e+02
25,30,40,4.708932e+02
25,30,50,4.708932e+02
25,30,60,4.708932e+02
25,30,70,4.708932e+02
25,30,80,4.708932e+02
25,30,90,4.708932e+02
25,30,100,4.708932e+02
25,30,1,1.517616e+03
25,30,2,6.596842e+02
25,30,3,6.161599e+02
25,30,5,5.572294e+02
25,30,10,5.551557e+02
25,30,20,5.293553e+02
25,30,30,5.075106e+02
25,30,40,5.075106e+02
25,30,50,5.075106e+02
25,30,60,5.069655e+02
25,30,70,5.069655e+02
25,30,80,5.069655e+02
25,30,90,5.069655e+02
25,30,100,5.069655e+02
25,30,1,1.113458e+03
25,30,2,6.292228e+02
25,30,3,6.203746e+02
25,30,5,6.041753e+02
25,30,10,6.041753e+02
25,30,20,6.041753e+02
25,30,30,6.020575e+02
25,30,40,5.792138e+02
25,30,50,5.519122e+02
25,30,60,5.507002e+02
25,30,70,5.507002e+02
25,30,80,5.507002e+02
25,30,90,5.353659e+02
25,30,100,5.263112e+02
25,30,1,1.019575e+03
25,30,2,6.817845e+02
25,30,3,6.278800e+02
25,30,5,5.988857e+02
25,30,10,5.736645e+02
25,30,20,5.564158e+02
25,30,30,5.446776e+02
25,30,40,5.446776e+02
25,30,50,5.446776e+02
25,30,60,5.446776e+02
25,30,70,5.446776e+02
25,30,80,5.446776e+02
25,30,90,5.446776e+02
25,30,100,5.446776e+02
