funcid,dim,milestone,error
23,30,1,6.798918e+02
23,30,2,6.130983e+02
23,30,3,6.105785e+02
23,30,5,6.105785e+02
23,30,10,5.974131e+02
23,30,20,5.839096e+02
23,30,30,5.781712e+02
23,30,40,5.781712e+02
23,30,50,5.781712e+02
23,30,60,5.781712e+02
23,30,70,5.781712e+02
23,30,80,5.781712e+02
23,30,90,5.781712e+02
23,30,100,5.781712e+02
23,30,1,6.680395e+02
23,30,2,6.599591e+02
23,30,3,6.599591e+02
23,30,5,6.337050e+02
23,30,10,6.249122e+02
23,30,20,6.249122e+02
23,30,30,6.249122e+02
23,30,40,6.064065e+02
23,30,50,5.779884e+02
23,30,60,5.779884e+02
23,30,70,5.779884e+02
23,30,80,5.779884e+02
23,30,90,5.779884e+02
23,30,100,5.779884e+02
23,30,1,6.837013e+02
23,30,2,6.191278e+02
23,30,3,6.191278e+02
23,30,5,6.191278e+02
23,30,10,6.068624e+02
23,30,20,5.926430e+02
23,30,30,5.926430e+02
23,30,40,5.926430e+02
23,30,50,5.889747e+02
23,30,60,5.889747e+02
23,30,70,5.889747e+02
23,30,80,5.889747e+02
23,30,90,5.889747e+02
23,30,100,5.889747e+02
23,30,1,6.865375e+02
23,30,2,6.455301e+02
23,30,3,6.121093e+02
23,30,5,6.029211e+02
23,30,10,5.985920e+02
23,30,20,5.949029e+02
23,30,30,5.949029e+02
23,30,40,5.836881e+02
23,30,50,5.798600e+02
23,30,60,5.700880e+02
23,30,70,5.700880e+02
23,30,80,5.635085e+02
23,30,90,5.635085e+02
23,30,100,5.635085e+02
23,30,1,6.929074e+02
23,30,2,6.247765e+02
23,30,3,6.247765e+02
23,30,5,6.194370e+02
23,30,10,5.947471e+02
23,30,20,5.835055e+02
23,30,30,5.835055e+02
23,30,40,5.835055e+02
23,30,50,5.737689e+02
23,30,60,5.737689e+02
23,30,70,5.737689e+02
23,30,80,5.737689e+02
23,30,90,5.737689e+02
23,30,100,5.737689e+02
