funcid,dim,milestone,error
18,30,1,1.477426e+07
18,30,2,5.509438e+06
18,30,3,3.730475e+06
18,30,5,1.225275e+06
18,30,10,1.022008e+06
18,30,20,1.022008e+06
18,30,30,1.022008e+06
18,30,40,1.022008e+06
18,30,50,7.261903e+05
18,30,60,6.615809e+05
18,30,70,6.615809e+05
18,30,80,6.615809e+05
18,30,90,6.615809e+05
18,30,100,6.615809e+05
18,30,1,7.993898e+06
18,30,2,7.392171e+06
18,30,3,4.011874e+06
18,30,5,4.011874e+06
18,30,10,3.683267e+06
18,30,20,3.391989e+06
18,30,30,3.391989e+06
18,30,40,2.404155e+06
18,30,50,2.404155e+06
18,30,60,2.404155e+06
18,30,70,2.404155e+06
18,30,80,2.404155e+06
18,30,90,2.404155e+06
18,30,100,2.404155e+06
18,30,1,3.464294e+07
18,30,2,1.322338e+07
18,30,3,2.853562e+06
18,30,5,2.853562e+06
18,30,10,1.027859e+06
18,30,20,1.027859e+06
18,30,30,1.027859e+06
18,30,40,1.027859e+06
18,30,50,1.027859e+06
18,30,60,1.027859e+06
18,30,70,7.947857e+05
18,30,80,7.947857e+05
18,30,90,7.947857e+05
18,30,100,7.947857e+05
18,30,1,2.249071e+07
18,30,2,1.247434e+07
18,30,3,1.247434e+07
18,30,5,1.046305e+07
18,30,10,1.043114e+07
18,30,20,1.043114e+07
18,30,30,1.043114e+07
18,30,40,5.060726e+06
18,30,50,5.060726e+06
18,30,60,4.627142e+06
18,30,70,4.627142e+06
18,30,80,4.627142e+06
18,30,90,4.627142e+06
18,30,100,1.975414e+06
18,30,1,1.854134e+07
18,30,2,1.220211e+07
18,30,3,4.703211e+06
18,30,5,4.703211e+06
18,30,10,4.703211e+06
18,30,20,2.641592e+06
18,30,30,1.614093e+06
18,30,40,1.614093e+06
18,30,50,7.856552e+05
18,30,60,7.856552e+05
18,30,70,7.856552e+05
18,30,80,7.856552e+05
18,30,90,7.856552e+05
18,30,100,7.856552e+05
