funcid,dim,milestone,error
28,10,1,8.117181e+02
28,10,2,6.376573e+02
28,10,3,6.173619e+02
28,10,5,6.150416e+02
28,10,10,6.124959e+02
28,10,20,6.121053e+02
28,10,30,6.121053e+02
28,10,40,6.121053e+02
28,10,50,6.121053e+02
28,10,60,6.121003e+02
28,10,70,6.121003e+02
28,10,80,6.120969e+02
28,10,90,6.120969e+02
28,10,100,6.120969e+02
28,10,1,6.649518e+02
28,10,2,5.733055e+02
28,10,3,4.593005e+02
28,10,5,4.431121e+02
28,10,10,4.277280e+02
28,10,20,4.277280e+02
28,10,30,4.277280e+02
28,10,40,4.277280e+02
28,10,50,4.277280e+02
28,10,60,4.275030e+02
28,10,70,4.275030e+02
28,10,80,4.275030e+02
28,10,90,4.275030e+02
28,10,100,4.275030e+02
28,10,1,8.526070e+02
28,10,2,6.566693e+02
28,10,3,6.447976e+02
28,10,5,6.135201e+02
28,10,10,6.124944e+02
28,10,20,6.124082e+02
28,10,30,6.120748e+02
28,10,40,6.120748e+02
28,10,50,6.120748e+02
28,10,60,6.120748e+02
28,10,70,6.120748e+02
28,10,80,6.120748e+02
28,10,90,6.120748e+02
28,10,100,6.120748e+02
28,10,1,7.448829e+02
28,10,2,6.472090e+02
28,10,3,6.132468e+02
28,10,5,6.046844e+02
28,10,10,6.029983e+02
28,10,20,5.925278e+02
28,10,30,5.888359e+02
28,10,40,5.878757e+02
28,10,50,5.872355e+02
28,10,60,5.872355e+02
28,10,70,5.872355e+02
28,10,80,5.872355e+02
28,10,90,5.872355e+02
28,10,100,5.869360e+02
28,10,1,6.832233e+02
28,10,2,6.832233e+02
28,10,3,6.067567e+02
28,10,5,5.680192e+02
28,10,10,5.530253e+02
28,10,20,5.421154e+02
28,10,30,5.395793e+02
28,10,40,5.395793e+02
28,10,50,5.395793e+02
28,10,60,5.291091e+02
28,10,70,5.291091e+02
28,10,80,5.291091e+02
28,10,90,5.291091e+02
28,10,100,5.291091e+02
28,10,1,6.443325e+02
28,10,2,4.941200e+02
28,10,3,4.488874e+02
28,10,5,4.294062e+02
28,10,10,3.900491e+02
28,10,20,3.900491e+02
28,10,30,3.869749e+02
28,10,40,3.869749e+02
28,10,50,3.869749e+02
28,10,60,3.767158e+02
28,10,70,3.767158e+02
28,10,80,3.767158e+02
28,10,90,3.767158e+02
28,10,100,3.767158e+02
28,10,1,7.779672e+02
28,10,2,6.248353e+02
28,10,3,4.865939e+02
28,10,5,4.357696e+02
28,10,10,4.272532e+02
28,10,20,4.132915e+02
28,10,30,4.002288e+02
28,10,40,3.902319e+02
28,10,50,3.863316e+02
28,10,60,3.827437e+02
28,10,70,3.827437e+02
28,10,80,3.827437e+02
28,10,90,3.827437e+02
28,10,100,3.827437e+02
28,10,1,7.124537e+02
28,10,2,6.431894e+02
28,10,3,6.158490e+02
28,10,5,6.151392e+02
28,10,10,6.122811e+02
28,10,20,6.121961e+02
28,10,30,6.121961e+02
28,10,40,6.121961e+02
28,10,50,6.121954e+02
28,10,60,6.121954e+02
28,10,70,6.120687e+02
28,10,80,6.120687e+02
28,10,90,6.120687e+02
28,10,100,6.120687e+02
28,10,1,6.943467e+02
28,10,2,5.511790e+02
28,10,3,4.755197e+02
28,10,5,4.673859e+02
28,10,10,4.569262e+02
28,10,20,4.569262e+02
28,10,30,4.569262e+02
28,10,40,4.382576e+02
28,10,50,4.382336e+02
28,10,60,4.382336e+02
28,10,70,4.268173e+02
28,10,80,4.268173e+02
28,10,90,4.249605e+02
28,10,100,4.249605e+02
28,10,1,6.783428e+02
28,10,2,4.720851e+02
28,10,3,4.254517e+02
28,10,5,4.013100e+02
28,10,10,3.989501e+02
28,10,20,3.921744e+02
28,10,30,3.902279e+02
28,10,40,3.902279e+02
28,10,50,3.902279e+02
28,10,60,3.790907e+02
28,10,70,3.790907e+02
28,10,80,3.790907e+02
28,10,90,3.790907e+02
28,10,100,3.790907e+02
