funcid,dim,milestone,error
1,30,1,1.361762e+10
1,30,2,7.377049e+09
1,30,3,4.178988e+09
1,30,5,4.178988e+09
1,30,10,4.178988e+09
1,30,20,4.178988e+09
1,30,30,4.178988e+09
1,30,40,4.178988e+09
1,30,50,4.178988e+09
1,30,60,3.948862e+09
1,30,70,3.948862e+09
1,30,80,3.948862e+09
1,30,90,3.948862e+09
1,30,100,3.948862e+09
1,30,1,1.675592e+10
1,30,2,6.432826e+09
1,30,3,6.252711e+09
1,30,5,5.939600e+09
1,30,10,5.939600e+09
1,30,20,5.704093e+09
1,30,30,4.672158e+09
1,30,40,4.672158e+09
1,30,50,4.672158e+09
1,30,60,4.557637e+09
1,30,70,4.557637e+09
1,30,80,4.476401e+09
1,30,90,3.831658e+09
1,30,100,3.831658e+09
1,30,1,1.826915e+10
1,30,2,7.919167e+09
1,30,3,7.919167e+09
1,30,5,7.308091e+09
1,30,10,7.308091e+09
1,30,20,5.720953e+09
1,30,30,5.203232e+09
1,30,40,5.203232e+09
1,30,50,5.203232e+09
1,30,60,5.203232e+09
1,30,70,5.166165e+09
1,30,80,5.166165e+09
1,30,90,4.893843e+09
1,30,100,4.893843e+09
1,30,1,1.414652e+10
1,30,2,6.188512e+09
1,30,3,6.188512e+09
1,30,5,4.485491e+09
1,30,10,4.485491e+09
1,30,20,4.485491e+09
1,30,30,4.485491e+09
1,30,40,4.051540e+09
1,30,50,4.051540e+09
1,30,60,4.051540e+09
1,30,70,3.815765e+09
1,30,80,3.815765e+09
1,30,90,3.815765e+09
1,30,100,3.815765e+09
1,30,1,1.371207e+10
1,30,2,7.286105e+09
1,30,3,6.806742e+09
1,30,5,5.638706e+09
1,30,10,5.638706e+09
1,30,20,4.651520e+09
1,30,30,4.651520e+09
1,30,40,4.651520e+09
1,30,50,4.651520e+09
1,30,60,4.583604e+09
1,30,70,4.519236e+09
1,30,80,3.906053e+09
1,30,90,3.906053e+09
1,30,100,3.906053e+09
