funcid,dim,milestone,error
19,30,1,7.358254e+07
19,30,2,2.834210e+07
19,30,3,2.834210e+07
19,30,5,1.677926e+07
19,30,10,1.677926e+07
19,30,20,7.173260e+06
19,30,30,7.173260e+06
19,30,40,7.173260e+06
19,30,50,7.173260e+06
19,30,60,3.399748e+06
19,30,70,3.399748e+06
19,30,80,3.399748e+06
19,30,90,3.399748e+06
19,30,100,3.399748e+06
19,30,1,7.077272e+07
19,30,2,5.706999e+07
19,30,3,4.980941e+07
19,30,5,2.301728e+07
19,30,10,1.988105e+07
19,30,20,1.836607e+07
19,30,30,1.614976e+07
19,30,40,1.067160e+07
19,30,50,1.067160e+07
19,30,60,9.077587e+06
19,30,70,9.077587e+06
19,30,80,9.077587e+06
19,30,90,9.077587e+06
19,30,100,9.077587e+06
19,30,1,1.077056e+08
19,30,2,1.430303e+07
19,30,3,1.430303e+07
19,30,5,1.430303e+07
19,30,10,1.105886e+07
19,30,20,5.187921e+06
19,30,30,3.228425e+06
19,30,40,3.228425e+06
19,30,50,3.228425e+06
19,30,60,3.228425e+06
19,30,70,3.228425e+06
19,30,80,3.005375e+06
19,30,90,3.005375e+06
19,30,100,3.005375e+06
19,30,1,1.132572e+08
19,30,2,3.942869e+07
19,30,3,2.417715e+07
19,30,5,1.745302e+07
19,30,10,1.030095e+07
19,30,20,1.030095e+07
19,30,30,8.544133e+06
19,30,40,4.484202e+06
19,30,50,4.484202e+06
19,30,60,4.484202e+06
19,30,70,3.428026e+06
19,30,80,3.428026e+06
19,30,90,3.428026e+06
19,30,100,3.428026e+06
19,30,1,9.037937e+07
19,30,2,5.197642e+07
19,30,3,5.197642e+07
19,30,5,2.627604e+07
19,30,10,9.472107e+06
19,30,20,5.687106e+06
19,30,30,5.687106e+06
19,30,40,5.687106e+06
19,30,50,4.636168e+06
19,30,60,4.636168e+06
19,30,70,4.636168e+06
19,30,80,4.636168e+06
19,30,90,4.636168e+06
19,30,100,4.636168e+06
