funcid,dim,milestone,error
3,30,1,2.180006e+05
3,30,2,1.756513e+05
3,30,3,1.360620e+05
3,30,5,6.816148e+04
3,30,10,5.649744e+04
3,30,20,4.489787e+04
3,30,30,3.922816e+04
3,30,40,3.501143e+04
3,30,50,3.391023e+04
3,30,60,3.122262e+04
3,30,70,3.122262e+04
3,30,80,3.122262e+04
3,30,90,3.122262e+04
3,30,100,3.122262e+04
3,30,1,1.777883e+05
3,30,2,1.304085e+05
3,30,3,7.989354e+04
3,30,5,6.539429e+04
3,30,10,5.200986e+04
3,30,20,3.936723e+04
3,30,30,3.760584e+04
3,30,40,3.760584e+04
3,30,50,3.604495e+04
3,30,60,3.604495e+04
3,30,70,3.541154e+04
3,30,80,3.422212e+04
3,30,90,3.422212e+04
3,30,100,3.422212e+04
3,30,1,1.934813e+05
3,30,2,1.331162e+05
3,30,3,9.406565e+04
3,30,5,7.385483e+04
3,30,10,4.212029e+04
3,30,20,3.061935e+04
3,30,30,2.991000e+04
3,30,40,2.923775e+04
3,30,50,2.923775e+04
3,30,60,2.847594e+04
3,30,70,2.847594e+04
3,30,80,2.847594e+04
3,30,90,2.847594e+04
3,30,100,2.847594e+04
3,30,1,2.416238e+05
3,30,2,1.236110e+05
3,30,3,9.105245e+04
3,30,5,5.507945e+04
3,30,10,4.687796e+04
3,30,20,3.451209e+04
3,30,30,3.260875e+04
3,30,40,3.259309e+04
3,30,50,3.259309e+04
3,30,60,3.259309e+04
3,30,70,3.259309e+04
3,30,80,3.244253e+04
3,30,90,3.244253e+04
3,30,100,3.164458e+04
3,30,1,1.827051e+05
3,30,2,1.109879e+05
3,30,3,1.073702e+05
3,30,5,8.452280e+04
3,30,10,4.138642e+04
3,30,20,3.419345e+04
3,30,30,3.196331e+04
3,30,40,3.113613e+04
3,30,50,2.981410e+04
3,30,60,2.981410e+04
3,30,70,2.938776e+04
3,30,80,2.938776e+04
3,30,90,2.938776e+04
3,30,100,2.938776e+04
