funcid,dim,milestone,error
14,30,1,1.327277e+06
14,30,2,8.171868e+05
14,30,3,7.765253e+05
14,30,5,6.329048e+05
14,30,10,6.288464e+05
14,30,20,5.687133e+05
14,30,30,3.068274e+05
14,30,40,2.947850e+05
14,30,50,2.280584e+05
14,30,60,2.220549e+05
14,30,70,2.220549e+05
14,30,80,2.220549e+05
14,30,90,2.120400e+05
14,30,100,2.120400e+05
14,30,1,1.167153e+06
14,30,2,2.411959e+05
14,30,3,2.411959e+05
14,30,5,2.347199e+05
14,30,10,1.418667e+05
14,30,20,1.392270e+05
14,30,30,1.392270e+05
14,30,40,1.392270e+05
14,30,50,1.244693e+05
14,30,60,1.244693e+05
14,30,70,1.244693e+05
14,30,80,1.244693e+05
14,30,90,1.244693e+05
14,30,100,1.244693e+05
14,30,1,5.620315e+06
14,30,2,3.845014e+06
14,30,3,2.086498e+06
14,30,5,1.855156e+06
14,30,10,1.794909e+06
14,30,20,1.765586e+06
14,30,30,1.744171e+06
14,30,40,1.725455e+06
14,30,50,1.725455e+06
14,30,60,1.725455e+06
14,30,70,1.725455e+06
14,30,80,1.725307e+06
14,30,90,1.725307e+06
14,30,100,1.717327e+06
14,30,1,4.077250e+05
14,30,2,2.428328e+05
14,30,3,2.428328e+05
14,30,5,2.428328e+05
14,30,10,7.301181e+04
14,30,20,6.102476e+04
14,30,30,3.803967e+04
14,30,40,2.366229e+04
14,30,50,2.366229e+04
14,30,60,2.366229e+04
14,30,70,2.366229e+04
14,30,80,2.366229e+04
14,30,90,2.366229e+04
14,30,100,2.366229e+04
14,30,1,1.319210e+06
14,30,2,2.768220e+05
14,30,3,2.531501e+05
14,30,5,2.531501e+05
14,30,10,1.085855e+05
14,30,20,1.038123e+05
14,30,30,1.038123e+05
14,30,40,8.196503e+04
14,30,50,8.196503e+04
14,30,60,5.700957e+04
14,30,70,5.700957e+04
14,30,80,5.700957e+04
14,30,90,5.700957e+04
14,30,100,5.700957e+04
