funcid,dim,milestone,error
16,30,1,2.759437e+03
16,30,2,2.759437e+03
16,30,3,2.759437e+03
16,30,5,2.523365e+03
16,30,10,2.523365e+03
16,30,20,2.511453e+03
16,30,30,2.448355e+03
16,30,40,2.448355e+03
16,30,50,2.416508e+03
16,30,60,2.416508e+03
16,30,70,2.184883e+03
16,30,80,1.978079e+03
16,30,90,1.895482e+03
16,30,100,1.895482e+03
16,30,1,2.374084e+03
16,30,2,2.374084e+03
16,30,3,2.374084e+03
16,30,5,2.363181e+03
16,30,10,2.363181e+03
16,30,20,2.206390e+03
16,30,30,2.206390e+03
16,30,40,2.206390e+03
16,30,50,2.206390e+03
16,30,60,2.159150e+03
16,30,70,2.054020e+03
16,30,80,2.054020e+03
16,30,90,2.054020e+03
16,30,100,2.054020e+03
16,30,1,2.389925e+03
16,30,2,1.995940e+03
16,30,3,1.995940e+03
16,30,5,1.966624e+03
16,30,10,1.788016e+03
16,30,20,1.741106e+03
16,30,30,1.642281e+03
16,30,40,1.642281e+03
16,30,50,1.642281e+03
16,30,60,1.642281e+03
16,30,70,1.642281e+03
16,30,80,1.642281e+03
16,30,90,1.642281e+03
16,30,100,1.642281e+03
16,30,1,2.561417e+03
16,30,2,2.529788e+03
16,30,3,1.633785e+03
16,30,5,1.315446e+03
16,30,10,1.315446e+03
16,30,20,1.306436e+03
16,30,30,1.306436e+03
16,30,40,1.203474e+03
16,30,50,1.203474e+03
16,30,60,1.203474e+03
16,30,70,1.203474e+03
16,30,80,1.203474e+03
16,30,90,1.203474e+03
16,30,100,1.141467e+03
16,30,1,2.764886e+03
16,30,2,2.534280e+03
16,30,3,2.534280e+03
16,30,5,2.534280e+03
16,30,10,2.061876e+03
16,30,20,1.768755e+03
16,30,30,1.548998e+03
16,30,40,1.531106e+03
16,30,50,1.531106e+03
16,30,60,1.531106e+03
16,30,70,1.491053e+03
16,30,80,1.491053e+03
16,30,90,1.364838e+03
16,30,100,1.364838e+03
