funcid,dim,milestone,error
24,30,1,7.329064e+02
24,30,2,6.813479e+02
24,30,3,6.813479e+02
24,30,5,6.813479e+02
24,30,10,6.784424e+02
24,30,20,6.784424e+02
24,30,30,6.784424e+02
24,30,40,6.784424e+02
24,30,50,6.784424e+02
24,30,60,6.784424e+02
24,30,70,6.752004e+02
24,30,80,6.752004e+02
24,30,90,6.752004e+02
24,30,100,6.752004e+02
24,30,1,7.294737e+02
24,30,2,6.956228e+02
24,30,3,6.956228e+02
24,30,5,6.833435e+02
24,30,10,6.558593e+02
24,30,20,6.424528e+02
24,30,30,6.424528e+02
24,30,40,6.424528e+02
24,30,50,6.424528e+02
24,30,60,6.424528e+02
24,30,70,6.424528e+02
24,30,80,6.424528e+02
24,30,90,6.424528e+02
24,30,100,6.424528e+02
24,30,1,7.733737e+02
24,30,2,7.076456e+02
24,30,3,6.853447e+02
24,30,5,6.674082e+02
24,30,10,6.674082e+02
24,30,20,6.539369e+02
24,30,30,6.539369e+02
24,30,40,6.539369e+02
24,30,50,6.539369e+02
24,30,60,6.539369e+02
24,30,70,6.485266e+02
24,30,80,6.485266e+02
24,30,90,6.485266e+02
24,30,100,6.485266e+02
24,30,1,7.250756e+02
24,30,2,6.925417e+02
24,30,3,6.797836e+02
24,30,5,6.797836e+02
24,30,10,6.706437e+02
24,30,20,6.706437e+02
24,30,30,6.706437e+02
24,30,40,6.706437e+02
24,30,50,6.624570e+02
24,30,60,6.624570e+02
24,30,70,6.624570e+02
24,30,80,6.533609e+02
24,30,90,6.533609e+02
24,30,100,6.533609e+02
24,30,1,7.434929e+02
24,30,2,7.434929e+02
24,30,3,7.434929e+02
24,30,5,7.434929e+02
24,30,10,7.338819e+02
24,30,20,7.338819e+02
24,30,30,7.338819e+02
24,30,40,7.338819e+02
24,30,50,7.338819e+02
24,30,60,7.080972e+02
24,30,70,7.080972e+02
24,30,80,6.915721e+02
24,30,90,6.915721e+02
24,30,100,6.915721e+02
